Agglo;Habitants;Dpt;Zone;Cambriolage;VolVoiture
Frejus;85442;83;Police;6.4;1.37
Freyming Merlebach;42376;57;Police;4.37;0.61
Gagny;39056;93;Police;8.53;3.43
Gaillac;81018;81;Gendarmerie;5.09;0.75
Gap;39744;5;Police;5.11;1.21
Gap;50137;5;Gendarmerie;3.61;0.8
Garges les Gonesse;40012;95;Police;3.97;3.6
Gassin Saint Tropez;73922;83;Gendarmerie;11.24;2.91
Gennevilliers;41364;92;Police;3.72;4.35
Gerzat;22175;63;Police;5.41;3.43
Gex;123119;1;Gendarmerie;5.44;1.66
Ghisonaccia;24227;2B;Gendarmerie;3.96;1.16
Gien;66012;45;Gendarmerie;5.36;1.68
Gier;74003;42;Police;7.39;2.45
Givors;28061;69;Police;6.34;4.13
Givors;126380;69;Gendarmerie;6.52;1.95
Gonesse;71603;95;Police;9.39;4.94
Gourdon;44113;46;Gendarmerie;3.24;0.52
Granville;21067;50;Police;1.66;0.62
Grasse;51036;6;Police;5.92;1.8
Grasse;92145;6;Gendarmerie;5.22;1.1
Gravelines;23252;59;Police;3.18;0.56
Grenoble;267512;38;Police;11.55;2.88
Grenoble;96111;38;Gendarmerie;8.52;1.95
Guebwiller;11461;68;Police;2.7;1.13
Gueret;13573;23;Police;3.9;0.81
Gueret;67788;23;Gendarmerie;2.26;0.53
Guilherand Granges;22512;7;Police;6.49;1.64
Guingamp;86657;22;Gendarmerie;3.25;0.66
Guyancourt;73033;78;Police;4.97;2.04
Hagondange;44194;57;Police;6.09;1.29
Haguenau;34280;67;Police;4.29;1.14
Haguenau;117530;67;Gendarmerie;1.65;0.53
Havre ;57914;76;Gendarmerie;2.92;0.67
Hazebrouck;21598;59;Police;1.71;0.42
Hazebrouck;79143;59;Gendarmerie;3.07;0.47
Herblay;49626;95;Police;6.61;5.38
Hericourt;10349;70;Police;4.54;0.58
Honfleur;13321;14;Police;5.63;1.43
Houilles;47030;78;Police;4.91;1.47
Hyeres;64486;83;Police;5.47;1.78
Hyeres;93723;83;Gendarmerie;4.21;1.57
Is sur Tille;62033;21;Gendarmerie;2.92;0.58
Issoire;52257;63;Gendarmerie;1.97;0.96
Issoudun;54584;36;Gendarmerie;4.43;1.12
Issy les Moulineaux;64355;92;Police;5.05;0.98
Istres;73340;13;Police;9.09;2.69
Istres;56539;13;Gendarmerie;6.49;3.75
Ivry sur Seine;57732;94;Police;5.28;2.42
Jeumont;18047;59;Police;1.99;0.66
Jonzac;57820;17;Gendarmerie;7.06;1.31
Juvisy sur Orge;94261;91;Police;7.5;3.12
Kourou Matoury 2 CGD reunies;99439;973;Gendarmerie;13.75;0.66
L  Ha¯ les Roses;110262;94;Police;5.96;2.94
La Baule;31470;44;Police;7.44;1.43
La Celle Saint Cloud;29418;78;Police;5.34;2.72
La Ciotat;33829;13;Police;10.43;3.07
La Courneuve;63527;93;Police;7.23;4.28
La Defense   Courbevoie   Puteaux   Nanterre;221407;92;Police;2.65;1.59
La Garenne Colombes;27628;92;Police;3.37;1.05
La Roche sur Yon;52664;85;Police;6.19;1.27
La Rochelle;103959;17;Police;5.06;2
La Seyne sur Mer;67832;83;Police;4.79;1.5
La Trinite;84992;972;Gendarmerie;5.86;0.47
Lagny sur Marne;75860;77;Police;6.2;3.41
Landerneau;78857;29;Gendarmerie;2.23;0.52
Langon;121393;33;Gendarmerie;4.83;0.82
Langres;45581;52;Gendarmerie;4.26;1.12
Lannion;20079;22;Police;3.59;0.7
Lannion;99163;22;Gendarmerie;2.73;0.51
Laon;29219;2;Police;6.74;1.95
Laon;106908;2;Gendarmerie;5.62;1.65
Largentiere;74724;7;Gendarmerie;4.74;0.9
Laval;69568;53;Police;6.21;0.99
Laval;83172;53;Gendarmerie;3.64;0.36
Le Blanc Mesnil;51438;93;Police;8.67;4.84
Le Creusot;31699;71;Police;4.54;0.54
Le Havre;228066;76;Police;8.29;2.23
Le Kremlin Bicetre;146656;94;Police;6.29;3.07
Le Lamentin;39360;972;Police;3.1;1.55
Le Mans;161137;72;Police;3.66;1.22
Le Marin;121511;972;Gendarmerie;8.11;0.83
Le Moule;53903;971;Gendarmerie;17.05;2.21
Le Port;38418;974;Police;5.23;1.09
Le Puy en Velay;34074;43;Police;5.99;1.29
Le Raincy;41834;93;Police;7.24;3.87
Le Touquet;4495;62;Police;10.46;1.11
Leman;54165;74;Police;4.23;1.18
Lens;303576;62;Police;5.61;1.98
Les Lilas;99927;93;Police;8.11;2.73
Les Mureaux;65403;78;Police;6.36;3.46
Les Sables d Olonne;41574;85;Police;3.66;0.67
